country,admin1_name,admin2_name,SurveyId,n_slept_under_net,n_respondents,total_hh,total_n_itn,total_n_itn_used,prop_use,mean_age,prop_female,n_clusters
Tanzania,Arusha,Arusha DC,TZ2007DHS,97,352,0,0,0,0.2755681818181818,21.561354774757287,0.5566657621977005,5
Tanzania,Arusha,Arusha DC,TZ2010DHS,1015,6462,333,18,12,0.15707211389662643,21.559915358530695,0.48892647852249194,62
Tanzania,Arusha,Arusha DC,TZ2012DHS,265,426,0,0,0,0.6220657276995305,23.24983933227964,0.5329326274535894,6
Tanzania,Arusha,Arusha DC,TZ2015DHS,1125,6135,300,32,26,0.18337408312958436,24.272994442684194,0.5106615362539704,63
Tanzania,Arusha,Arusha DC,TZ2017DHS,66,167,0,0,0,0.39520958083832336,25.117822792188868,0.48892451180413876,2
Tanzania,Arusha,Arusha DC,TZ2022DHS,5341,16427,644,97,80,0.32513544773847936,24.43795860713314,0.5225679423929096,123
Tanzania,Arusha,Arusha MC,TZ2007DHS,161,264,0,0,0,0.6098484848484849,22.147531665282393,0.5367142668378133,4
Tanzania,Arusha,Arusha MC,TZ2010DHS,2731,6087,326,55,40,0.44866108099227864,22.203855617934764,0.5211657835050086,76
Tanzania,Arusha,Arusha MC,TZ2012DHS,201,333,0,0,0,0.6036036036036037,21.394221190931365,0.5392944411807276,5
Tanzania,Arusha,Arusha MC,TZ2015DHS,2931,5231,253,77,64,0.560313515580195,22.781395496985873,0.4821774279331986,67
Tanzania,Arusha,Arusha MC,TZ2017DHS,101,155,0,0,0,0.6516129032258065,24.046581196581194,0.4850427350427351,2
Tanzania,Arusha,Arusha MC,TZ2022DHS,4763,9837,431,76,61,0.4841923350615025,27.926046189460504,0.5344293280915958,114
Tanzania,Arusha,Karatu DC,TZ2007DHS,12,205,0,0,0,0.05853658536585366,23.18799019607843,0.5095588235294117,2
Tanzania,Arusha,Karatu DC,TZ2010DHS,1598,3367,167,60,32,0.4746064746064746,20.207563573136277,0.4975129630204614,35
Tanzania,Arusha,Karatu DC,TZ2012DHS,154,235,0,0,0,0.6553191489361702,22.443797195253506,0.5488133764832794,3
Tanzania,Arusha,Karatu DC,TZ2015DHS,1716,5412,246,41,28,0.3170731707317073,24.764688269345932,0.5317386386319782,44
Tanzania,Arusha,Karatu DC,TZ2017DHS,49,109,0,0,0,0.44954128440366975,24.89814814814815,0.4954128440366973,1
Tanzania,Arusha,Karatu DC,TZ2022DHS,2832,5574,217,55,44,0.5080731969860065,26.431958653026427,0.5339940323955669,46
Tanzania,Arusha,Longido DC,TZ2007DHS,55,144,0,0,0,0.3819444444444444,24.126190476190477,0.48214285714285715,2
Tanzania,Arusha,Longido DC,TZ2010DHS,1570,3518,174,53,41,0.44627629334849345,21.842003426680847,0.5100732600732601,39
Tanzania,Arusha,Longido DC,TZ2012DHS,30,71,0,0,0,0.4225352112676056,22.112676056338028,0.49295774647887325,1
Tanzania,Arusha,Longido DC,TZ2015DHS,84,4620,216,4,2,0.01818181818181818,18.51553672316384,0.5176138251910933,42
Tanzania,Arusha,Longido DC,TZ2022DHS,324,2322,94,5,4,0.13953488372093023,15.891472868217054,0.6356589147286822,18
Tanzania,Arusha,Meru DC,TZ2007DHS,52,299,0,0,0,0.17391304347826086,23.24768032893033,0.4849785245618579,4
Tanzania,Arusha,Meru DC,TZ2010DHS,1391,6228,297,32,25,0.22334617854849068,25.772701121174574,0.5058832312554676,61
Tanzania,Arusha,Meru DC,TZ2012DHS,69,150,0,0,0,0.46,27.591350476532998,0.5038662111131091,2
Tanzania,Arusha,Meru DC,TZ2015DHS,1932,4218,197,41,36,0.45803698435277385,23.69172743477556,0.4785941574225483,44
Tanzania,Arusha,Meru DC,TZ2017DHS,77,157,0,0,0,0.49044585987261147,29.276640026640028,0.5055777555777555,2
Tanzania,Arusha,Meru DC,TZ2022DHS,2339,7568,306,52,42,0.3090644820295983,25.07801189464741,0.49466425717694135,67
Tanzania,Arusha,Monduli DC,TZ2007DHS,0,110,0,0,0,0,18.418181818181818,0.5,1
Tanzania,Arusha,Monduli DC,TZ2010DHS,80,2160,108,4,0,0.037037037037037035,19.12962962962963,0.5092592592592593,20
Tanzania,Arusha,Monduli DC,TZ2012DHS,24,105,0,0,0,0.22857142857142856,19.238095238095237,0.49523809523809526,1
Tanzania,Arusha,Monduli DC,TZ2015DHS,1760,3467,161,48,40,0.5076434958177098,25.209064359113032,0.5097674418604651,43
Tanzania,Arusha,Monduli DC,TZ2017DHS,21,85,0,0,0,0.24705882352941178,22.296296296296298,0.4588235294117647,1
Tanzania,Arusha,Monduli DC,TZ2022DHS,2792,6229,240,46,35,0.44822603949269546,23.463940818111574,0.5407538499593264,49
Tanzania,Arusha,Ngorongoro DC,TZ2007DHS,0,74,0,0,0,0,21.56756756756757,0.4864864864864865,1
Tanzania,Arusha,Ngorongoro DC,TZ2010DHS,520,1287,69,18,13,0.40404040404040403,23.171717171717173,0.3939393939393939,13
Tanzania,Arusha,Ngorongoro DC,TZ2012DHS,98,167,0,0,0,0.5868263473053892,22.430579460699946,0.5029403327596098,2
Tanzania,Arusha,Ngorongoro DC,TZ2015DHS,912,4632,214,25,21,0.19689119170984457,22.067094582513857,0.5171035222599678,50
Tanzania,Arusha,Ngorongoro DC,TZ2017DHS,59,178,0,0,0,0.33146067415730335,22.88690476190476,0.5116279069767442,2
Tanzania,Arusha,Ngorongoro DC,TZ2022DHS,0,3144,131,0,0,0,17.68702290076336,0.5343511450381679,24
Tanzania,Dar-es-salaam,Ilala MC,TZ2007DHS,259,365,0,0,0,0.7095890410958904,22.92829960544535,0.5370420676631856,5
Tanzania,Dar-es-salaam,Ilala MC,TZ2010DHS,5449,7132,461,120,102,0.7640213123948402,22.13431347221067,0.5191615826325843,107
Tanzania,Dar-es-salaam,Ilala MC,TZ2012DHS,456,554,0,0,0,0.8231046931407943,24.088110909419044,0.5036832199191875,8
Tanzania,Dar-es-salaam,Ilala MC,TZ2015DHS,10493,13678,740,228,187,0.7671443193449334,24.271035712919527,0.49850272588713274,168
Tanzania,Dar-es-salaam,Ilala MC,TZ2017DHS,273,326,0,0,0,0.8374233128834356,22.47003816625874,0.514561573949285,4
Tanzania,Dar-es-salaam,Ilala MC,TZ2022DHS,11515,14652,603,111,88,0.7858995358995359,24.409051995315295,0.4997448124664861,178
Tanzania,Dar-es-salaam,Kigamboni MC,TZ2010DHS,915,1065,70,28,24,0.8591549295774648,26.492957746478872,0.5492957746478874,15
Tanzania,Dar-es-salaam,Kigamboni MC,TZ2015DHS,693,1281,59,19,14,0.5409836065573771,27.442622950819672,0.4918032786885246,21
Tanzania,Dar-es-salaam,Kigamboni MC,TZ2017DHS,50,71,0,0,0,0.704225352112676,25.380281690140844,0.5352112676056338,1
Tanzania,Dar-es-salaam,Kigamboni MC,TZ2022DHS,2752,3840,147,45,31,0.7166666666666667,28.01356155365372,0.49563722329679777,40
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2007DHS,406,584,0,0,0,0.6952054794520548,24.534827878400712,0.5059047215185131,9
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2010DHS,5082,7322,446,115,103,0.6940726577437859,24.472163444399026,0.5082607707907195,107
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2012DHS,307,411,0,0,0,0.7469586374695864,24.44146786573777,0.5494710427899295,6
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2015DHS,7728,10556,548,137,121,0.7320954907161804,23.424387124652227,0.50866636631986,139
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2017DHS,49,66,0,0,0,0.7424242424242424,23.393939393939394,0.48484848484848486,1
Tanzania,Dar-es-salaam,Kinondoni MC,TZ2022DHS,11033,19932,814,97,79,0.5535320088300221,27.626389193355564,0.539266758039621,238
Tanzania,Dar-es-salaam,Temeke MC,TZ2007DHS,432,573,0,0,0,0.7539267015706806,24.299641223742,0.5475805483503278,9
Tanzania,Dar-es-salaam,Temeke MC,TZ2010DHS,3030,4860,324,81,69,0.6234567901234568,24.770759015857056,0.5058763676410735,90
Tanzania,Dar-es-salaam,Temeke MC,TZ2012DHS,502,649,0,0,0,0.773497688751926,23.500425636817127,0.4945210091485092,9
Tanzania,Dar-es-salaam,Temeke MC,TZ2015DHS,11520,15369,842,249,218,0.7495608042162796,23.80807686232469,0.5092474046733646,184
Tanzania,Dar-es-salaam,Temeke MC,TZ2017DHS,235,335,0,0,0,0.7014925373134329,24.20205565680174,0.4972087634499698,4
Tanzania,Dar-es-salaam,Temeke MC,TZ2022DHS,12335,18417,761,126,117,0.6697616332736059,25.83902503676816,0.5741951023990659,203
Tanzania,Dar-es-salaam,Ubungo MC,TZ2007DHS,100,121,0,0,0,0.8264462809917356,23.57695652173913,0.5082608695652174,2
Tanzania,Dar-es-salaam,Ubungo MC,TZ2010DHS,1659,2894,186,32,26,0.573255010366275,25.51590373783922,0.5607782898105479,45
