country,admin1_name,admin2_name,SurveyId,n_slept_under_net,n_respondents,total_hh,total_n_itn,total_n_itn_used,prop_use,mean_age,prop_female,n_clusters
Tanzania,Arusha,Arusha DC,TZ2007DHS,97,352,0,0,0,0.275568182,21.56135477,0.556665762,5
Tanzania,Arusha,Arusha DC,TZ2010DHS,1015,6462,333,18,12,0.157072114,21.55991536,0.488926479,62
Tanzania,Arusha,Arusha DC,TZ2012DHS,265,426,0,0,0,0.622065728,23.24983933,0.532932627,6
Tanzania,Arusha,Arusha DC,TZ2015DHS,1125,6135,300,32,26,0.183374083,24.27299444,0.510661536,63
Tanzania,Arusha,Arusha DC,TZ2017DHS,66,167,0,0,0,0.395209581,25.11782279,0.488924512,2
Tanzania,Arusha,Arusha DC,TZ2022DHS,5341,16427,644,97,80,0.325135448,24.43795861,0.522567942,123
Tanzania,Arusha,Arusha MC,TZ2007DHS,161,264,0,0,0,0.609848485,22.14753167,0.536714267,4
Tanzania,Arusha,Arusha MC,TZ2010DHS,2731,6087,326,55,40,0.448661081,22.20385562,0.521165784,76
Tanzania,Arusha,Arusha MC,TZ2012DHS,201,333,0,0,0,0.603603604,21.39422119,0.539294441,5
Tanzania,Arusha,Arusha MC,TZ2015DHS,2931,5231,253,77,64,0.560313516,22.7813955,0.482177428,67
Tanzania,Arusha,Arusha MC,TZ2017DHS,101,155,0,0,0,0.651612903,24.0465812,0.485042735,2
Tanzania,Arusha,Arusha MC,TZ2022DHS,4763,9837,431,76,61,0.484192335,27.92604619,0.534429328,114
Tanzania,Arusha,Karatu DC,TZ2007DHS,12,205,0,0,0,0.058536585,23.1879902,0.509558824,2
Tanzania,Arusha,Karatu DC,TZ2010DHS,1598,3367,167,60,32,0.474606475,20.20756357,0.497512963,35
Tanzania,Arusha,Karatu DC,TZ2012DHS,154,235,0,0,0,0.655319149,22.4437972,0.548813376,3
Tanzania,Arusha,Karatu DC,TZ2015DHS,1716,5412,246,41,28,0.317073171,24.76468827,0.531738639,44
Tanzania,Arusha,Karatu DC,TZ2017DHS,49,109,0,0,0,0.449541284,24.89814815,0.495412844,1
Tanzania,Arusha,Karatu DC,TZ2022DHS,2832,5574,217,55,44,0.508073197,26.43195865,0.533994032,46
Tanzania,Arusha,Longido DC,TZ2007DHS,55,144,0,0,0,0.381944444,24.12619048,0.482142857,2
Tanzania,Arusha,Longido DC,TZ2010DHS,1570,3518,174,53,41,0.446276293,21.84200343,0.51007326,39
Tanzania,Arusha,Longido DC,TZ2012DHS,30,71,0,0,0,0.422535211,22.11267606,0.492957746,1
Tanzania,Arusha,Longido DC,TZ2015DHS,84,4620,216,4,2,0.018181818,18.51553672,0.517613825,42
Tanzania,Arusha,Longido DC,TZ2022DHS,324,2322,94,5,4,0.139534884,15.89147287,0.635658915,18
Tanzania,Arusha,Meru DC,TZ2007DHS,52,299,0,0,0,0.173913043,23.24768033,0.484978525,4
Tanzania,Arusha,Meru DC,TZ2010DHS,1391,6228,297,32,25,0.223346179,25.77270112,0.505883231,61
Tanzania,Arusha,Meru DC,TZ2012DHS,69,150,0,0,0,0.46,27.59135048,0.503866211,2
Tanzania,Arusha,Meru DC,TZ2015DHS,1932,4218,197,41,36,0.458036984,23.69172743,0.478594157,44
Tanzania,Arusha,Meru DC,TZ2017DHS,77,157,0,0,0,0.49044586,29.27664003,0.505577756,2
