province,num_hhmember,number_slept_under_itn,under_5,five_to_nineteen,nineteen_plus,num_under_5_slept_under_net,num_under_5,percent_slept_under_nets,percent_kids_slept_under_nets,all_slept_under_net,rural,wealth_quintile,raw_weight_hh,true_cluster,strata_id,fpc,fpc2,itns_in_hh,llins_in_hh,irs,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea,very_high_irs_in_ea,high_irs_in_ea,medium_irs_in_ea,low_irs_in_ea,very_low_irs_in_ea,people_per_net,nets_per_people,one_net_per_2_people,full_cover_or_irs_or_all_under_nets,all_kids_slept_under_net,itn_2_1_coverage_and_irs,itn_2_1_coverage_or_irs
Southern,3,0,#NAME?,1,1,0,0,0,NA,0,Rural,3,709.4030762,162,19,0.008669267,0.275000006,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,3,0,0,1,0,0,NA,0,0,0,NA,0,0
North-Western,3,3,1,#NAME?,1,1,1,1,1,1,Rural,2,533.244873,154,12,0.011178861,0.15436241,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,47.82608696,3,0,0,1,0,0,1.5,0.666666667,1,1,1,1,1
Southern,3,3,1,#NAME?,1,1,1,1,1,1,Rural,3,2668.378662,168,19,0.008669267,0.030037547,2,2,0,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,29.16666667,2,0,0,0,1,0,1.5,0.666666667,1,1,1,0,1
Western,5,5,1,#NAME?,1,1,1,1,1,1,Rural,2,608.5783691,193,15,0.009014085,0.25,4,4,0,1,1,4,1,1,1,4,4,1,1,1,1,0,1,9.523809524,1,0,0,0,0,1,1.25,0.8,1,1,1,0,1
Central,5,5,#NAME?,1,1,0,0,1,NA,1,Rural,5,537.9537354,8,17,0.008504924,0.347222209,3,3,0,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,36,2,0,0,0,1,0,1.666666667,0.6,1,1,NA,0,1
Northern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,1,771.267334,129,16,0.008608972,0.178571433,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,1,0,NA,0,0,0,NA,0,0
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,3,661.9102783,201,20,0.010673986,0.216216221,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5,1,0,0,0,0,NA,0,0,1,NA,0,1
Luapula,7,7,1,1,1,2,2,1,1,1,Rural,1,496.3392334,82,18,0.01005291,0.135714293,3,3,1,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,89.47368421,5,1,0,0,0,0,2.333333333,0.428571429,0,1,1,0,1
Luapula,4,0,1,#NAME?,1,0,2,0,0,0,Rural,2,699.3758545,80,18,0.01005291,0.115577891,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2,0,0,0,1,0,NA,0,0,0,0,0,0
Eastern,5,3,1,1,1,1,2,0.6,0.5,0,Rural,5,490.130249,41,20,0.010673986,0.118811883,1,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,72.72727273,4,0,1,0,0,0,5,0.2,0,1,0,0,1
Central,1,1,#NAME?,#NAME?,1,0,0,1,NA,1,Rural,1,561.8015747,10,17,0.008504924,0.273809522,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,47.82608696,3,0,0,1,0,0,1,1,1,1,NA,0,1
Central,9,0,1,1,1,0,2,0,0,0,Rural,4,641.1096802,18,17,0.008504924,0.263157904,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,20,2,0,0,0,1,0,9,0.111111111,0,1,0,0,0
Southern,6,0,1,1,1,0,1,0,0,0,Rural,4,2668.378662,168,19,0.008669267,0.030037547,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2,0,0,0,1,0,NA,0,0,0,0,0,0
Northern,6,6,#NAME?,1,1,0,0,1,NA,1,Rural,5,229.5438385,133,16,0.008608972,0.600000024,3,2,0,3,1,3,1,1,1,3,1,1,1,1,1,0,1,57.89473684,3,0,0,1,0,0,2,0.5,1,1,NA,0,1
Western,4,2,1,#NAME?,1,1,2,0.5,0.5,0,Rural,1,487.8677063,182,15,0.009014085,0.161971837,1,1,0,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,26.08695652,2,0,0,0,1,0,4,0.25,0,0,0,0,0
Western,7,0,#NAME?,1,1,0,0,0,NA,0,Rural,3,455.3486633,191,15,0.009014085,0.201680675,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,0,0,1,0,0,NA,0,0,1,NA,0,1
North-Western,5,3,#NAME?,1,1,0,0,0.6,NA,0,Rural,1,560.2043457,151,12,0.011178861,0.148148149,2,0,1,1,1,2,1,1,0,2,2,1,1,0,1,1,1,40,3,0,0,1,0,0,2.5,0.4,0,1,NA,0,1
Northern,1,1,#NAME?,#NAME?,1,0,0,1,NA,1,Rural,1,644.4005127,137,16,0.008608972,0.124260359,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,66.66666667,4,0,1,0,0,0,1,1,1,1,NA,0,1
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Urban,5,1661.061035,70,6,0.004081632,0.203703701,1,1,0,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,22.72727273,2,0,0,0,1,0,1,1,1,0,NA,0,1
Eastern,1,0,#NAME?,1,#NAME?,0,0,0,NA,0,Rural,1,346.9143982,62,20,0.010673986,0.223300964,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.17391304,3,0,0,1,0,0,NA,0,0,1,NA,0,1
Northern,2,1,#NAME?,#NAME?,1,0,0,0.5,NA,0,Rural,2,651.9214478,131,16,0.008608972,0.233009711,1,0,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,12.5,1,0,0,0,0,1,2,0.5,1,0,NA,0,1
Central,6,6,#NAME?,1,1,0,0,1,NA,1,Rural,4,574.0814209,11,17,0.008504924,0.298701286,3,3,0,3,1,3,1,1,1,3,1,1,1,1,1,0,1,30.43478261,2,0,0,0,1,0,2,0.5,1,1,NA,0,1
Western,3,3,#NAME?,#NAME?,1,0,0,1,NA,1,Rural,5,455.3486633,191,15,0.009014085,0.201680675,2,2,0,2,1,2,1,1,1,2,1,1,1,1,1,0,1,50,3,0,0,1,0,0,1.5,0.666666667,1,1,NA,0,1
Eastern,2,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,1,441.381958,57,20,0.010673986,0.217391297,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5,1,0,0,0,0,NA,0,0,1,NA,0,1
Central,3,0,#NAME?,1,1,0,0,0,NA,0,Urban,2,2280.060059,20,7,0.003372681,0.185185179,2,2,0,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,28,2,0,0,0,1,0,1.5,0.666666667,1,0,NA,0,1
Lusaka,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,3,146.1127014,91,10,0.010804322,0.333333343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,0,NA,0,0
North-Western,5,0,#NAME?,1,1,0,0,0,NA,0,Urban,4,2388.099854,157,3,0.005050505,0.131736532,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,4,0,1,0,0,0,NA,0,0,1,NA,0,1
Copperbelt,7,0,#NAME?,1,1,0,0,0,NA,0,Urban,5,995.0276489,31,11,0.004253509,0.139240503,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,56.52173913,3,0,0,1,0,0,NA,0,0,1,NA,0,1
