province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
Southern,Rural,3,709.4030762,162,0.008669267,0.275000006,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,3
North-Western,Rural,2,533.244873,154,0.011178861,0.15436241,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,47.82608696,3
Southern,Rural,3,2668.378662,168,0.008669267,0.030037547,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,29.16666667,2
Western,Rural,2,608.5783691,193,0.009014085,0.25,Contorl,4,4,1,1,4,1,1,1,4,4,1,1,1,1,0,1,9.523809524,1
Central,Rural,5,537.9537354,8,0.008504924,0.347222209,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,36,2
Northern,Rural,1,771.267334,129,0.008608972,0.178571433,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2
Eastern,Rural,3,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5
Luapula,Rural,1,496.3392334,82,0.01005291,0.135714293,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,89.47368421,5
Luapula,Rural,2,699.3758545,80,0.01005291,0.115577891,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Eastern,Rural,5,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,72.72727273,4
Central,Rural,1,561.8015747,10,0.008504924,0.273809522,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,47.82608696,3
Central,Rural,4,641.1096802,18,0.008504924,0.263157904,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,20,2
Southern,Rural,4,2668.378662,168,0.008669267,0.030037547,Contorl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Northern,Rural,5,229.5438385,133,0.008608972,0.600000024,Contorl,3,2,3,1,3,1,1,1,3,1,1,1,1,1,0,1,57.89473684,3
Western,Rural,1,487.8677063,182,0.009014085,0.161971837,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,26.08695652,2
Western,Rural,3,455.3486633,191,0.009014085,0.201680675,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3
North-Western,Rural,1,560.2043457,151,0.011178861,0.148148149,Contorl,2,0,1,1,2,1,1,0,2,2,1,1,0,1,1,1,40,3
Northern,Rural,1,644.4005127,137,0.008608972,0.124260359,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,66.66666667,4
Eastern,Urban,5,1661.061035,70,0.004081632,0.203703701,Group 2: Pre-elimination (phase 2),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,22.72727273,2
Eastern,Rural,1,346.9143982,62,0.010673986,0.223300964,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.17391304,3
Northern,Rural,2,651.9214478,131,0.008608972,0.233009711,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,12.5,1
Central,Rural,4,574.0814209,11,0.008504924,0.298701286,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,30.43478261,2
Western,Rural,5,455.3486633,191,0.009014085,0.201680675,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,50,3
